Opportunity;Name;Link;Criteria;Industrial segment;Segment tags;Stage;Geography;Funding Amount;Deadline;Quick info;CVR at application;CVR at programme start;KU support unit;KU faculty focus;KU contact email;KU contact hint;KU support page;Fund contact email
Female Initiatives;Next Women;https://nextwomen.com;Nordics-based female-led startups;General;General;All stages;Nordics;Varies;Rolling;Nordic network and platform for female-led startups with events, visibility, and investor connections across the region.;Any;Any;—;;;;;
Female Initiatives;Nordic Female Founders;https://nordicfemalefounders.com;Nordics-based female-led startups;General;General;All stages;Nordics;Varies;Rolling;Nordic community connecting female founders with mentors, investors, and cross-border networking opportunities.;Any;Any;—;;;;;
Female Initiatives;Nordic Women’s Health Hub;https://nordicwomenshealth.com/;Nordics-based female-led startups;Life Sciences;Health;All stages;Nordics;Varies;Rolling;Nordic Women’s Health community/hub supporting women’s health innovation and female founders with network, visibility and sector programmes across the Nordics.;Any;Any;—;;;;;
Female Initiatives;Women in Front;https://womeninfront.dk;DK-based female leaders;General;General;All stages;DK;Varies;Rolling;Network for Danish female leaders and entrepreneurs with events, mentorship, and leadership development.;Any;Any;—;;;;;
Female Initiatives;Women in Tech;https://womenintech.dk;DK-based women in tech;Tech & AI;Tech;All stages;DK;Varies;Rolling;Danish community promoting women in technology through events, mentoring, role models, and career support.;Any;Any;—;;;;;
Incubator/Accelerator;Akademikernes Startup;https://akademikerne.dk;DK-based startups founded by academics;General, Life Sciences, Tech & AI;Tech, Health, General;Venture formation;DK;Varies;Rolling;Member benefit from Akademikernes A-kasse: 3-month Copenhagen incubator, online incubator, and on-demand courses with mentoring and networking. Open to members exploring entrepreneurship, including while on dagpenge.;Any;Any;—;;;;;
Incubator/Accelerator;BII Bio Studio;https://bii.dk/programs/bio-studio/;"Principal Investigator (prof/assoc prof, 3+ years as independent group leader); challenge-call scoped; pre-commercial project with no existing company or external investment";Life Sciences, Cleantech & Energy;Biotech, Health, Cleantech;Commercial validation, Venture formation;DK;"Up to DKK 5.35M/year for up to 3 years (in-kind; convertible loan in year 3)";Challenge calls ~2x/year (typically May and December);"Company-creation programme for academic researchers. Highly selective multi-step process (expression of interest, scientific pitch, diligence). BII encourages early dialogue on project fit before applying. Project team is hired at BII; Entrepreneur-in-Residence leads company formation (spin-out typically around year 2). Thematic calls in Human Health, Planetary Health, and related focus areas. TRL 2–4. Company-creation for entrepreneurial academic PIs; multi-year funding.";No;No;Lighthouse;;lighthouse@ku.dk;KU Lighthouse;;
Incubator/Accelerator;BII Quantum Lab;https://bii.dk/programs/quantum-lab/;"Early-stage startup HQ in NATO country; dual-use quantum technology addressing NATO DIANA challenge areas";Quantum, Deep Tech, Defense;Quantum Tech, Defense Tech, Deep Tech;Venture formation;Nordics;EUR 100K contractual funding (6 months);Per programme call;6-month programme (formerly Deep Tech Lab – Quantum), run with NATO DIANA. Supports dual-use quantum technologies with both civilian and defence applications. Access to NATO-wide defence, security, and resilience networks. TRL early (quantum startups). Early-stage quantum startups (BII / NATO DIANA collaboration context).;Yes;Yes;Lighthouse;;lighthouse@ku.dk;KU Lighthouse;;
Incubator/Accelerator;BII Upscalator;https://bii.dk/programs/upscalator/;"Biosolutions company with validated technology and core R&D completed, where further progress depends on scaling; no commercial investment or for-profit financing; core IP owned by, exclusively licensed to, or clearly licensable to the company";Life Sciences, Food & Agriculture, Cleantech & Energy;Biotech, Cleantech, Sustainability, Food;Growth/scale;DK, EU;Convertible loan of DKK 3–5M per project (milestone-based tranches);Up to four decision cycles per year (next: 1 September 2026, 14:00 CEST);BII programme helping biosolutions companies move validated concepts toward production at scale. Provides a dedicated BII anchor plus access to BII's community, network, fundraising platform and events. Requires a team with the technical, operational and commercial capability to execute the scale-up.;Yes;Yes;Lighthouse;;lighthouse@ku.dk;KU Lighthouse;;
Incubator/Accelerator;BII Venture Lab;https://bii.dk/programs/venture-lab/;"Early-stage life science or deep tech startup; Danish CVR required for funding; prioritises Danish HQ, operations, and leadership";Life Sciences, Deep Tech, Cleantech & Energy;Biotech, Health, Deep Tech, Cleantech;Venture formation;DK;DKK 4.2M founder-friendly convertible loan (12 months);Per open call (rolling between calls);"12-month accelerator maturing science and business readiness. Open-call programme for incorporated startups in Human Health, Planetary Health, and Quantum. May apply before CVR exists if a clear plan to establish a Danish entity before programme start. Eligible Danish teams may later apply for Venture House follow-on (DKK 10.5M). TRL 3–5. Early-stage life science & deep tech; founder-friendly convertible funding.";Any;Yes;Lighthouse;;lighthouse@ku.dk;KU Lighthouse;;
Incubator/Accelerator;BII Venture House;https://bii.dk/programs/venture-lab/;"Exclusive follow-on for BII Venture Lab alumni headquartered and operating with leadership in Denmark; active Venture Lab participation required.";Life Sciences, Deep Tech, Cleantech & Energy;Biotech, Health, Deep Tech, Cleantech;Growth/scale;DK;Convertible loan of DKK 10.5M (~EUR 1.3M), ~18 months;By invitation / Venture Lab progress (not open call);BII follow-on programme after Venture Lab. Founder-friendly convertible loan and continued BII support to mature toward Series A readiness. Distinct from BII Upscalator, which is a separate biosolutions scale-up initiative.;Yes;Yes;Lighthouse;;lighthouse@ku.dk;KU Lighthouse;;
Incubator/Accelerator;Beta Health;https://betahealth.dk;"Hospital-employed clinicians/researchers; Danish public hospitals";Life Sciences;Health;Commercial validation;DK;Varies;Per programme call;National hospital innovation platform (Novo Nordisk Foundation). Clinicians/researchers at Danish public hospitals apply for BETA.05 (DKK 500K) or BETA.10 (DKK 1M) grants plus structured accelerator support.;Any;Any;—;;;;;
Incubator/Accelerator;Beyond Beta;https://beyondbeta.dk;"DK-based startups; CVR max 7 years; MVP or customers";General, Tech & AI;Tech, General;Growth/scale;DK;Varies;Annual batches (varies);EU-funded 12-month national accelerator run by Accelerace, industry clusters, and Danish Business Hubs. Tailored mentoring, workshops, and investor access. Free to join.;Yes;Yes;—;;;;;
Incubator/Accelerator;CBS CSE (Copenhagen School of Entrepreneurship);https://cse.cbs.dk/;"Students, recent graduates, or researchers at Danish higher-ed institutions; startup or committed idea stage";General;General;Venture formation;DK;No direct funding (incubation/acceleration support);Rolling;"CBS entrepreneurship centre (distinct from former UCPH CSE/Venture Cup). Incubator and accelerator for founders at idea through growth stage; EXPLORE pre-incubation, Deep Green Innovators, and OpenInnovation with DTU Skylab and KU Actory.";Any;Any;—;;;;;
Incubator/Accelerator;Canute;https://canute.io/;DK-based startups scaling internationally;General, Tech & AI;General, Tech;Growth/scale;DK;Paid advisory / programmes (varies);Rolling;Scaling advisory and accelerator (now Canute by Thursday). Helps Danish founders enter US, UK, and Germany with market-entry programmes, fundraising strategy, and public-funding support. Scaling programmes assume an incorporated Danish startup.;Any;Yes;—;;;;;
Incubator/Accelerator;Care Tech Challenge;https://www.danish.care/aktiviteter/for-startups-caretech-challenge/;"DK startups 0–3 years old (CVR); limited commercial revenue on the solution";Life Sciences;Health, Care tech, Welfare tech;Venture formation;DK;"No cash grant (accelerator + exposure; Danish.Care membership fee)";Rolling screening for 2026/2027 cohort;Danish.Care CareTech CHALLENGE accelerator for assistive/welfare-tech startups. Activities include pitches, Investor Day, Health & Rehab exhibition, workshops and industry matchmaking. Participation requires screening plus paid Danish.Care membership (Group 1). Company age 0–3 years based on CVR.;Yes;Yes;—;;;;;
Incubator/Accelerator;Climate-KIC Urban Mobility Food;https://climate-kic.org;EU-based urban mobility or food systems startups;Food & Agriculture, Cleantech & Energy;Cleantech, Food/AgriTech, Sustainability;All stages;EU;Varies;Rolling;EIT Climate-KIC programmes for EU startups in urban mobility and sustainable food systems. Access to innovation programmes, pilots, and European cleantech networks.;Any;Any;—;;;;;
Incubator/Accelerator;DIF Innovation Lab;https://dif.dk;DK-based sports tech startups;Tech & AI, Creative & Media;Tech, Sports;Venture formation;DK;Varies;Rolling;DIF (Danish sports federation) innovation lab bridging sportstech startups with federations, clubs, athletes, and universities for user testing and scaling. SportsTech Denmark membership and government-funded innovation packages available.;Yes;Yes;—;;;;;
Incubator/Accelerator;Defence Tech Denmark;https://defencetech.dk;DK-based defense or security tech startups;Defense;Defense Tech;Venture formation;DK;Varies;Rolling;Community and support network for Danish defence and dual-use security startups, linking founders with defence stakeholders, testing opportunities, and ecosystem partners.;Any;Any;—;;;;;
Incubator/Accelerator;EESA;https://eesa.dk;DK-based energy or sustainability startups;Cleantech & Energy;Cleantech, Sustainability;Venture formation;DK;Varies;Rolling;Energy and sustainability accelerator/community supporting Danish cleantech startups with mentoring, industry connections, and programme activities in the green transition.;Any;Any;—;;;;;
Incubator/Accelerator;Food and Bio Cluster;https://foodbiocluster.dk;DK-based food or agri-tech startups;Food & Agriculture;Food/AgriTech;All stages;DK;Varies;Rolling;Danish cluster organisation for food, bio, and agri-tech companies offering networking, internationalisation support, innovation projects, and sector-specific programmes.;Any;Any;—;;;;;
Incubator/Accelerator;Founder to Leader;https://foundertoleader.dk;"DK-based startups; leadership development";General;General;Growth/scale;DK;Varies;Rolling;Leadership development programme for Danish startup founders focusing on management skills, team building, and scaling as a CEO. Programme targets founders with an operating company.;Any;Yes;—;;;;;
Incubator/Accelerator;Future Manufacturers;https://futuremanufacturers.dk;DK-based manufacturing tech startups;Tech & AI, Manufacturing & Industry;Tech, Manufacturing;Venture formation;DK;Varies;Rolling;Manufacturing and industry 4.0 startup programme supporting Danish production-tech founders with sector expertise and scaling support.;Any;Any;—;;;;;
Incubator/Accelerator;Game Hub;https://gamehub.dk;DK-based gaming or interactive media startups;Tech & AI, Creative & Media;Tech, Gaming;Venture formation;DK;Varies;Rolling;Danish games industry hub offering community, events, mentoring, and business development for gaming and interactive media startups.;Any;Any;—;;;;;
Incubator/Accelerator;Hub for Innovation in Tourism;https://innohub.dk/;DK-based tourism tech startups;Tech & AI, Creative & Media;Tech, Tourism;Venture formation;DK;"Programme support (accelerator; not a fixed cash grant)";Rolling;"National Hub for Innovation in Tourism (HIT) — partnership of Dansk Kyst- og Naturturisme, MeetDenmark and Dansk Storbyturisme. Startup accelerator, matchmaking and network for tourism-relevant founders; co-funded by ESF+ and Danmarks Erhvervsfremmebestyrelse.";Any;Any;—;;;;;
Incubator/Accelerator;Ideas Lab;https://filmbyaarhus.dk/english/industry-development/start-up-office-and-community;Promising startups/talent in games, film, XR, animation (Aarhus);Creative & Media;Media, Entertainment, Games;Venture formation;DK;In-kind (office, mentoring, workshops);Rolling;Filmby Aarhus incubator / startup office (Ideas Lab) for digital creative ventures in games, film, XR and animation. Office space, mentoring, legal/accountant access, workshops and masterclasses toward acceleration — no standard cash grant.;Any;Any;—;;;;;
Incubator/Accelerator;Incuba;https://incuba.dk;DK-based early-stage startups;General, Tech & AI;Tech, General;Venture formation;DK;Varies;Rolling;Danish incubator supporting early-stage tech startups with workspace, mentoring, and business development in Aalborg/North Denmark region.;Any;Any;—;;;;;
Incubator/Accelerator;Leap Forward;https://leapforward.dk;DK-based tech startups;General, Tech & AI;Tech, General;Venture formation;DK;Varies;Rolling;Tech startup growth programme offering mentoring and scaling support for Danish early-stage companies.;Any;Any;—;;;;;
Incubator/Accelerator;Lighthouse Launch;https://lighthouse.ku.dk/en/students/lighthouselaunch/;"UCPH students, researchers, and postdocs with a concrete idea; KU affiliation required";General;General;Exploratory innovation;DK;DKK 30K grant (cohort programme);Rolling (cohort-based);"KU Lighthouse 14-week pre-accelerator for evidence-based idea validation through structured experiments. Open to students, researchers, and postdocs; replaces the former KU–Accelerace cohort pathway. Mentoring and workshops; prepares teams for POC funding, accelerators, or investment.";Any;Any;Lighthouse;;lighthouse@ku.dk;KU Lighthouse;;
Incubator/Accelerator;Maritime Stars;https://maritimestars.dk;DK-based maritime tech startups;Tech & AI;Maritime Tech;Venture formation;DK;Varies;Rolling;Maritime tech startup programme in Denmark connecting founders with shipping, offshore, and port industry partners for pilots and commercialisation.;Any;Any;—;;;;;
Incubator/Accelerator;Neighborhood;https://neighborhood.dk;DK-based community-driven startups;General, Social Impact;Social Impact, General;Venture formation;DK;Varies;Rolling;Community-driven startup hub in Copenhagen supporting local, impact-oriented founders with workspace, events, and peer network.;Any;Any;—;;;;;
Incubator/Accelerator;Odense Robotics Startup Fund;https://odenserobotics.dk;DK-based robotics or automation startups;Tech & AI;Tech, Robotics;Venture formation;DK;Varies;Rolling;Odense Robotics cluster support for Danish robotics, automation, and drone startups including mentoring, investor access, and internationalisation via cluster programmes.;Any;Any;—;;;;;
Incubator/Accelerator;Open Entrepreneurship;https://open-entrepreneurship.com/;Researchers at Danish universities with research-based commercialisation potential;General, Life Sciences, Tech & AI;Tech, Health, Biotech, General;All stages;DK;No direct funding (network and programmes);Rolling;National collaboration across all eight Danish universities connecting researchers with experienced entrepreneurs and investors. No direct grant funding. A flagship activity is the Co-founder Run (twice yearly): a nationwide matching process that helps research-based pre-startup teams find commercial co-founders. Also offers investor matchmaking, E-corps, and support across Deep Tech, Life Sciences, Digital, and SHAPE. Gateway to pathways such as Innoexplorer and spin-out formation.;Any;Any;Lighthouse;;lighthouse@ku.dk;"KU Lighthouse / OE at UCPH; central unit DTU";;
Incubator/Accelerator;PreFlight;https://preflight.io;Nordics-based pre-seed startups;General;General;Commercial validation;Nordics;Varies;Rolling;Nordic pre-seed programme helping very early startups validate ideas, build MVPs, and prepare for first funding rounds.;Any;Any;—;;;;;
Incubator/Accelerator;SPARK Denmark;https://sparkdenmark.ku.dk/;Health/life science projects with clinical or commercial potential;Life Sciences;Health, Biotech;Exploratory innovation, Commercial validation;DK;Up to 700,000 DKK (350,000 DKK per year);Annual intake (autumn);"2×12-month structured mentoring; funds proof-of-concept studies, consultants, and prototyping only. Funds proof-of-concept work for researchers; not for established companies. TRL low (academic PoC). Life-science mentoring + up to DKK 700K PoC funding.";No;No;Lighthouse;;lighthouse@ku.dk;SPARK Denmark Secretariat (SUND) / KU Lighthouse;;
Incubator/Accelerator;STEAR;https://stear.dk;DK-based tech startups;General, Tech & AI;Tech, General;Venture formation;DK;Varies;Rolling;Danish tech startup support programme offering mentoring and ecosystem access for early-stage founders.;Any;Any;—;;;;;
Incubator/Accelerator;Soundtech;https://soundtech.dk;DK-based audio or music tech startups;Tech & AI, Creative & Media;Tech, Audio;Venture formation;DK;Varies;Rolling;Audio and music technology incubator/community in Denmark for startups developing sound, music, and media-tech products.;Any;Any;—;;;;;
Incubator/Accelerator;Tech Nordic;https://technordic.com;Nordics-based tech startups;General, Tech & AI;Tech, General;Venture formation;Nordics;Varies;Rolling;Nordic tech startup community and support network for early-stage companies seeking cross-border connections and growth resources.;Any;Any;—;;;;;
Incubator/Accelerator;The Circular Lab;https://www.thecircularlab.com/en/gocircular/;European circular-economy startups;Cleantech & Energy;Cleantech, Sustainability;Venture formation;EU;No direct grant (community, visibility, challenges);Rolling;"Ecoembes TheCircularLab GoCircular: European open-innovation community for circular-economy startups. Visibility via goCircular Radar, networking, challenges and GoCircularPass certification. Open to European startups (including Nordics); not a classic DK cash grant.";Any;Any;—;;;;;
Incubator/Accelerator;Time to Raise;https://timetoraise.co;Founder-led startups currently fundraising or fundraising within ~6 months;General;General;Venture formation;Nordics, EU;No direct grant (fundraising accelerator);Rolling / per cohort;"Techarena fundraising accelerator for founder-led companies (not women-only). Focuses on investor readiness, warm intros and raising capital faster; alumni report capital raised via the programme.";Any;Any;—;;;;;
Incubator/Accelerator;We Build Denmark;https://webuilddenmark.dk;DK-based construction or cleantech startups;Cleantech & Energy;Cleantech, Sustainability;Venture formation;DK;Varies;Annual (varies);"Construction and built-environment innovation cluster programme; annual activities for cleantech and construction startups.";Any;Any;—;;;;;
Research Grants;IBIS (Initiative for Biofertilizer Innovation and Science);https://ibis.dtu.dk/;"Open Innovation in Science calls; universities/public research + collaborators (Global North & South)";Life Sciences, Food & Agriculture, Cleantech & Energy;Agri, Biotech, Sustainability;Exploratory innovation;DK, International;OIS project calls within DKK 215M platform (NNF + Gates Foundation);Calls announced via IBIS / NNF (check ibis.dtu.dk);"Global biofertiliser R&D initiative hosted at DTU Bioengineering; UCPH is a partner. Open, non-GMO, no patents on organisms/use. Builds discovery-to-field pipeline. TRL: low–mid (foundational research through field-testing).";Any;Any;Preaward;;Frederiksberg: forskningsfinansiering-frbplus@adm.ku.dk | Nørre: forskningsfinansiering-noerre@adm.ku.dk | Søndre: forskningsfinansiering-soendre@adm.ku.dk;Preaward RSO (primary). IBIS Secretariat, DTU Bioengineering.;;
Research Grants;Lundbeck Frontier;https://www.lundbeck.com/;Academic teams working on early-stage neuroscience discoveries;Life Sciences;Health, Biotech, Neuroscience;Exploratory innovation;DK;DKK 500K–5M/year (multi-year collaborations);Rolling;Focus: psychiatry, neurodegeneration, CNS drug discovery. Preserves publication rights and university IP ownership.;Any;Any;Preaward;;Frederiksberg: forskningsfinansiering-frbplus@adm.ku.dk | Nørre: forskningsfinansiering-noerre@adm.ku.dk | Søndre: forskningsfinansiering-soendre@adm.ku.dk;Preaward RSO;;
Research Grants;Carlsbergfondet;https://carlsbergfondet.dk/ansoeger/;"Researchers with strong affiliation to Danish research; basic research in natural sciences, humanities or social sciences";General, Life Sciences, Chemistry, Physics & Materials, Social Impact;General, Health, Chemistry, Physics, Research, Social Impact;Exploratory innovation;DK, International;"Varies by instrument (DKK 100K–25M+; e.g. Semper Ardens, postdoc stipends, infrastructure, fieldwork)";"Efterårsopslag: 1 September (annual); several instruments also rolling";Major Danish foundation for free basic research at international level in natural sciences, humanities and social sciences. Efterårsopslag (deadline 1 Sep from 2026) covers Semper Ardens Advance/Accelerate, monograph stipends, research infrastructure, postdoc/reintegration stipends, field expeditions, dissemination (incl. Carlsberg Mindelegat), and more. Rolling schemes include conferences in Denmark, fieldwork under DKK 100K, and acute projects. Apply via CF-Grant.;Any;Any;Preaward;;Frederiksberg: forskningsfinansiering-frbplus@adm.ku.dk | Nørre: forskningsfinansiering-noerre@adm.ku.dk | Søndre: forskningsfinansiering-soendre@adm.ku.dk;Preaward RSO (research grants);;cfgrant@carlsbergfoundation.dk
Research Grants;NNF Distinguished Innovator Grant;https://novonordiskfonden.dk/en/grant/distinguished-innovator-grant/;"Senior Nordic researchers; proven track record";Life Sciences, Chemistry, Cleantech & Energy;Health, Sustainability, Biotech, Chemistry;Commercial validation, Venture formation;Nordics;Up to DKK 7.6M;Annual (Sept. deadline);"Novo Nordisk Foundation grant for senior Nordic researchers with proven track records to pursue high-impact innovation projects. Must act as innovation ambassador within academia. Duration 3 years. TRL 3–5. Mature academic commercialisation by experienced innovators; up to DKK 7.6M / 3 years; pre-CVR.";Any;Any;Preaward;;Frederiksberg: forskningsfinansiering-frbplus@adm.ku.dk | Nørre: forskningsfinansiering-noerre@adm.ku.dk | Søndre: forskningsfinansiering-soendre@adm.ku.dk;Preaward RSO;;
Research Grants;NNF Pioneer Innovator Grant;https://novonordiskfonden.dk/en/grant/pioneer-innovator-grant/;"Nordic researchers; pre-CVR; health or sustainability focus";Life Sciences, Chemistry, Cleantech & Energy;Health, Sustainability, Biotech, Chemistry;Exploratory innovation, Commercial validation;Nordics;Up to DKK 1.2M;Annual (Sept. deadline);"Primarily supports early-stage research at universities and research institutes (grant to institution, not individual). Themes: cardiometabolic/infectious diseases, agriculture, food, industrial/environmental biotech, carbon capture, quantum tech. Combined annual budget DKK 190M. TRL 1–3. Academic pre-CVR proof-of-concept; up to DKK 1.2M / 1 year.";No;No;Preaward;;Frederiksberg: forskningsfinansiering-frbplus@adm.ku.dk | Nørre: forskningsfinansiering-noerre@adm.ku.dk | Søndre: forskningsfinansiering-soendre@adm.ku.dk;Preaward RSO;;
Research Grants;Open Discovery Innovation Network (ODIN);https://projects.au.dk/open-odin;Precompetitive university-industry collaboration in drug discovery and diagnostics;Life Sciences;Health, Biotech, Drug Discovery;Exploratory innovation;DK;DKK 180M (2024–2028);Per call;Results openly shared, not patented. DKK 54.5M pilot + DKK 14M from Lundbeck Foundation. TRL low–mid (early discovery). Patent-free open discovery network (universities + industry).;Any;Any;Preaward;;Frederiksberg: forskningsfinansiering-frbplus@adm.ku.dk | Nørre: forskningsfinansiering-noerre@adm.ku.dk | Søndre: forskningsfinansiering-soendre@adm.ku.dk;Preaward RSO (primary). ODIN Secretariat, Aarhus University.;;
