Opportunity;Name;Link;Criteria;Industrial segment;Stage;Geography;Funding Amount;Deadline;Quick info
Incubator/Accelerator;Defence Tech Denmark;https://defencetech.dk;DK-based defense or security tech startups;Defense Tech;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;DIF Innovation Lab;https://dif.dk;DK-based sports tech startups;Tech, Sports;Early-stage;DK;Varies;Rolling;
Events/Awards;Digital Tech Summit;https://digitaltechsummit.dk;DK-based tech startups;Tech, General;All;DK;;Annual (varies);
Soft Funding;Dineros Iværksetterlegat;https://dineros.dk;DK-based early-stage entrepreneurs;General;Early-stage;DK;DKK 50K–200K;Annual (varies);
Female Initiatives;Diversity Commitment;https://diversitycommitment.dk;DK-based diversity/inclusion;General;Early-stage;DK;Varies;Rolling;
Soft Funding;DSV Group Innovation Partnerships;https://dsv.com/;Logistics automation, sustainability in freight, supply chain digitalisation;Tech, Robotics, AI, Cleantech;Early-stage, Growth-stage;DK;Project-specific (in-kind + cash);Rolling; Logistics automation, sustainability in freight, supply chain digitalisation. In-kind access to DSV’s global infrastructure.
Incubator/Accelerator;EESA;https://eesa.dk;DK-based energy or sustainability startups;Cleantech, Sustainability;Early-stage;DK;Varies;Rolling;
Soft Funding;EIC Accelerator;https://eic.ec.europa.eu/eic-2026-work-programme_en;Single SME/startup, TRL 6–8;Deep Tech, Health, Cleantech, Chemistry, Physics, Quantum Tech, Materials Science;Growth-stage;EU;Up to €2.5M grant + €1M–10M equity;6 batching dates/year (Jan, Mar, May, Jul, Sep, Nov); Single SME/startup, TRL 6–8. 6 batching dates/year (Jan, Mar, May, Jul, Sep, Nov). Grant-only support available once per company under Horizon Europe.
Soft Funding;EIC Pathfinder;https://eic.ec.europa.eu/eic-funding-opportunities/eic-pathfinder_en;Research consortia, TRL 1–4;Deep Tech, Health, Cleantech, Chemistry, Physics, Quantum Tech, Materials Science;Early-stage;EU;Up to €4M;2x/year (May, Oct); Research consortia, TRL 1–4. 2026  Pathfinder Open (12 May), Pathfinder Challenges (28 Oct). Total budget  EUR 262M. Success rate  ~2.1% (2025).
Soft Funding;EIC Transition;https://catalyze-group.com/fund/eic-transition/;Must build on EIC Pathfinder, ERC PoC, or Horizon Europe Pillar II project;Deep Tech, Health, Cleantech, Chemistry, Physics, Quantum Tech, Materials Science;Early-stage, Growth-stage;EU;€0.5M – €2.5M;Annual (16 Sept 2026); Must build on EIC Pathfinder, ERC PoC, or Horizon Europe Pillar II project. Predecessor project must have been active for at least 18 months before cut-off. Single deadline  16 Sept 2026.
Soft Funding;EUDP;https://eudp.dk;"DK-based; 3–5 participants; CVR number required";Energy, Cleantech, Chemistry, Materials Science;Early-stage, Growth-stage;DK;DKK 2M–15M;Biannual (March/September); Green energy R&D, companies & universities. 2025 funding  DKK 543M. Two calls/year (spring, autumn).
Soft Funding;Eureka;https://eurekanetwork.org;"EU/Nordic-based SMEs; cross-border R&D collaboration";Tech, Health, Cleantech, Chemistry, Physics;Early-stage;EU/Nordic;€100K–2M;Rolling;
Soft Funding;Eurostars;https://www.eurostars-eureka.eu/;SME-led, international consortium;Tech, Health, Cleantech, General;Early-stage, Growth-stage;EU;Up to €500K (Danish partner);Annual (March 2026); SME-led, international consortium (2+ Eurostars countries). Success rate  ~25–30%. IFD funds Danish participants up to EUR 500K if multiple Danish partners.
Female Initiatives;Even;https://even.dk;DK-based female entrepreneurs;General;Early-stage;DK;Varies;Rolling;
Events/Awards;EY Entrepreneur of the Year;https://ey.com/dk;DK-based entrepreneurs;General;All;DK;;Annual (varies);
Student Entrepreneurship;Fonden for Entreprenørskab;https://fondenforentreprenorskab.dk;"DK-based students; entrepreneurship education";General;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;Food and Bio Cluster;https://foodbiocluster.dk;DK-based food or agri-tech startups;Food/AgriTech;Early-stage, Growth-stage;DK;Varies;Rolling;
Female Initiatives;Found Diverse;https://founddiverse.com;DK-based diversity in startups;General;Early-stage;DK;Varies;Rolling;
Events/Awards;Founder Festival;https://founderfestival.dk;DK-based startups;General;Early-stage;DK;;Annual (varies);
Incubator/Accelerator;Founder to Leader;https://foundertoleader.dk;"DK-based startups; leadership development";General;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;Future Manufacturers;https://futuremanufacturers.dk;DK-based manufacturing tech startups;Tech, Manufacturing;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;Game Hub;https://gamehub.dk;DK-based gaming or interactive media startups;Tech, Gaming;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;Global Entrepreneurship Programme (GEP);https://startupdenmark.info/gep;Growth-stage companies with US/Asia market ambitions;General;Growth-stage;DK;Modest co-financing of in-market costs;Annual; Growth-stage companies with US/Asia market ambitions. 4–6 week in-market immersion periods. Operated with EIFO and Trade Council of Denmark.
Events/Awards;Global Startup Awards;https://globalstartupawards.com;Global startups;General;All;Global;;Annual (varies);
Events/Awards;Green Leap Challenge;https://greenleap.dk;DK-based sustainability or cleantech startups;Cleantech, Sustainability;Early-stage;DK;Prize-based;Annual (varies);
Soft Funding;GUDP;https://gudp.dk;DK-based green tech projects;Cleantech, Sustainability, Chemistry;Early-stage, Growth-stage;DK;DKK 100K–5M;Rolling;
Soft Funding;HeyFunding Legatet;https://heyfunding.dk;"DK-based startups; focus on social impact";Social Impact, Sustainability;Early-stage;DK;DKK 50K–500K;Rolling;
Soft Funding;Horizon Europe;https://ec.europa.eu/info/funding-tenders;EU-based collaborative R&D projects;Tech, Health, Biotech, Cleantech, Sustainability, Chemistry, Physics, Quantum Tech, Materials Science;Early-stage, Growth-stage;EU;€0.5M–10M+;Rolling (program-specific);
Incubator/Accelerator;Hub for Innovation in Tourism;https://visitdenmark.com;DK-based tourism tech startups;Tech, Tourism;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;Ideas Lab;https://ideaslab.dk;DK-based idea-stage projects;General;Early-stage;DK;Varies;Rolling;
Soft Funding;IFD Grand Solutions;https://innovationsfonden.dk/en/p/grand-solutions;Consortia including companies & research institutions;Tech, Health, Biotech, Cleantech, Sustainability, General;Growth-stage;DK;DKK 5M – 40M+ (co-financing rates vary);2x/year (March, June); SMEs 35–75%, large companies 25–65%, research institutions up to 90% + overhead). Conditions  Consortia including companies & research institutions. Must address significant societal challenges or economic opportunities. Theme-based calls  March  open call  June.
Soft Funding;IFD Innobooster;https://innovationsfonden.dk/en/p/innobooster;"Danish SMEs with CVR number; must have raised DKK 100K or have DKK 250K gross profit";General;Growth-stage;DK;DKK 200K – 5M (35% co-financing);Rolling (pooled); Danish SMEs with CVR number  must have raised DKK 100K or have DKK 250K gross profit. Eligible costs  salaries, external knowledge providers, equipment, materials. Excluded  operational optimisation, rent, transport, sales/marketing. Often used as prolonged founding of previous innofounder grant winners.
Soft Funding;IFD Innoexplorer;https://innovationsfonden.dk/en/p/innoexplorer;Public researchers, pre-CVR;General;Early-stage;DK;DKK 500K – 1.5M;3 rounds/year; Public researchers, pre-CVR. Assessment criteria  novelty and commercial potential, applicant qualifications, and feasibility of the plan. Process  UCPH operates an internal Expression of Interest (EoI) process  researchers submit to an internal Lighthouse panel before full application. Reapplicants must also submit an EoI.
Soft Funding;IFD Innofounder;https://innovationsfonden.dk/en/p/innofounder;"Higher-ed graduates, early startup; full-time commitment mandatory";General;Early-stage;DK;DKK 430,000 total (DKK 27,500/month + DKK 100,000 development grant);2 rounds/year (Jan-Feb, Autumn); Higher-ed graduates, early startup  full-time commitment mandatory. Non-EU/EEA applicants must hold a Start-up Denmark visa or have studied/worked in Denmark for at least one year. Grant treated as personal income for tax purposes. Can apply without a CVR, but CVR need to be created before project start.
Events/Awards;Ignite;https://ignite.dk;DK-based startups;General;Early-stage;DK;;Annual (varies);
Incubator/Accelerator;Incuba;https://incuba.dk;DK-based early-stage startups;Tech, General;Early-stage;DK;Varies;Rolling;
Female Initiatives;Intech Founders;https://intechfounders.com;DK-based female-led startups;Tech;Early-stage;DK;Varies;Rolling;
Student Entrepreneurship;ITU Business Development;https://itu.dk;"DK-based ITU students; tech startups";Tech, General;Early-stage;DK;Varies;Rolling;
Events/Awards;JoinUp North;https://joinupnorth.com;Nordics-based startups;General;Early-stage;Nordics;;Annual (varies);
Female Initiatives;Kvinde kompagniet;https://kvindekompagniet.dk;DK-based female entrepreneurs;General;Early-stage;DK;Varies;Rolling;
Female Initiatives;Ladies First;https://ladiesfirst.dk;DK-based female entrepreneurs;General;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;Leap Forward;https://leapforward.dk;DK-based tech startups;Tech, General;Early-stage;DK;Varies;Rolling;
Soft Funding;LEO Innovation Lab;https://leoinnovationlab.com/;Start-ups and academic spin-outs in dermatology, digital health, medical devices;Health, Biotech, Digital Therapeutics;Early-stage, Growth-stage;DK;DKK 500K–3M/year + in-kind contributions;Rolling; Start-ups and academic spin-outs in dermatology, digital health, medical devices. Access to LEO Pharma labs and patient registries.
Research Grants;Lundbeck Frontier;https://www.lundbeck.com/;Academic teams working on early-stage neuroscience discoveries;Health, Biotech, Neuroscience;Early-stage;DK;DKK 500K–5M/year (multi-year collaborations);Rolling; Academic teams working on early-stage neuroscience discoveries (psychiatry, neurodegeneration, CNS drug discovery). Preserves researcher’s publication rights and university’s IP ownership.
Incubator/Accelerator;Maritime Stars;https://maritimestars.dk;DK-based maritime tech startups;Maritime Tech;Early-stage;DK;Varies;Rolling;
Soft Funding;Mikrolegat;https://mikrolegat.dk;DK-based early-stage projects;General;Early-stage;DK;DKK 10K–100K;Rolling;
Soft Funding;Miljø- og Energi Fonden;https://mif.dk;DK-based environmental projects;Cleantech, Sustainability, Chemistry, Materials Science;Early-stage, Growth-stage;DK;DKK 100K–5M;Rolling;
Soft Funding;MUDP;https://mudp.dk;"DK-based; focus on environmental tech";Cleantech, Sustainability, Chemistry;Early-stage, Growth-stage;DK;DKK 100K–5M;Rolling; Environmental tech, companies & universities. 2025 allocation  DKK 135M. Annual call.
Incubator/Accelerator;Neighborhood;https://neighborhood.dk;DK-based community-driven startups;Social Impact, General;Early-stage;DK;Varies;Rolling;
Female Initiatives;Next Women;https://nextwomen.com;Nordics-based female-led startups;General;Early-stage;Nordics;Varies;Rolling;
Student Entrepreneurship;NextGen Innovation and Startup Hub;https://nextgeninnovation.dk;DK-based student-led startups;Tech, General;Early-stage;DK;Varies;Rolling;
Research Grants;NNF Distinguished Innovator Grant;https://novonordiskfonden.dk/en/grant/distinguished-innovator-grant/;"Senior Nordic researchers; proven track record";Health, Sustainability, Biotech, Chemistry;All;Nordics;Up to DKK 7.6M;Annual (Sept. deadline); Senior Nordic researchers  proven track record (previous innovation projects, patents, spin-outs). Must act as an ambassador for innovation within academia. Duration  3 years.
Research Grants;NNF Pioneer Innovator Grant;https://novonordiskfonden.dk/en/grant/pioneer-innovator-grant/;"Nordic researchers; pre-CVR; health or sustainability focus";Health, Sustainability, Biotech, Chemistry;Early-stage;Nordics;Up to DKK 1.2M;Annual (Sept. deadline); Nordic researchers  pre-CVR  health or sustainability focus (cardiometabolic/infectious diseases, agriculture, food, industrial/environmental biotech, carbon capture, quantum tech). Combined annual budget  DKK 190M. Grant awarded to the institution, not the individual.
Female Initiatives;Nordic Female Founders;https://nordicfemalefounders.com;Nordics-based female-led startups;General;Early-stage;Nordics;Varies;Rolling;
Events/Awards;Nordic Fintech Week;https://nordicfintechweek.com;Nordics-based fintech startups;Fintech;Early-stage;Nordics;;Annual (varies);
Soft Funding;Nordic Innovation;https://nordicinnovation.org;Nordics-based cross-border innovation projects;Tech, Health, Cleantech, Sustainability, Chemistry;Early-stage, Growth-stage;Nordics;€100K–1M;Rolling;
Events/Awards;Nordic Innovation Fair;https://nordicinnovationfair.com;Nordics-based startups;General;All;Nordics;;Annual (fall);
Events/Awards;Nordic Proptech Awards 2026;https://nordicproptechawards.com;Nordics-based proptech startups;PropTech;Early-stage;Nordics;;Annual (2026);
Female Initiatives;Nordic Women in Tech Awards;https://nordicwomenintech.com;Nordics-based female leaders in tech;Tech;All;Nordics;;Annual (varies);
Female Initiatives;Nordic Women’s Health Hub;https://nordicwomenshealthhub.com;Nordics-based female-led startups;Health;Early-stage;Nordics;Varies;Rolling;
Soft Funding;Nordlys Vækstpulje;https://nordlysvaekst.dk;Nordics-based early-stage startups;General;Early-stage;Nordics;DKK 500K–5M;Rolling;
Student Entrepreneurship;NOVI Legatet;https://novi.dk;"DK-based students; innovation/entrepreneurship";General;Early-stage;DK;Varies;Annual (varies);
Soft Funding;Novo Nordisk External Research and Open Innovation;https://www.novonordisk.com/;Academic spin-outs and start-ups in obesity, diabetes, cardiovascular disease, etc.;Health, Biotech, Cell Therapy;Early-stage, Growth-stage;DK;DKK 1M–20M (1–3 years);Rolling; Academic spin-outs and start-ups in obesity, diabetes, cardiovascular disease, cell therapy, etc. Option-to-licence deals may include upfront + milestone payments.
Student Entrepreneurship;Novo Nordisk Foundation Fellowship Program Biomedical Design;https://novonordiskfonden.dk;"DK-based PhD students; biomedical design focus";Health, Biotech;All;DK;DKK 500K–2M;Annual (varies);
Events/Awards;Odense Investor Summit;https://odenseinvestorsummit.dk;DK-based startups;General;Early-stage;DK;;Annual (varies);
Incubator/Accelerator;Odense Robotics Startup Fund;https://odenserobotics.dk;DK-based robotics or automation startups;Tech, Robotics;Early-stage;DK;Varies;Rolling;
Events/Awards;Odin Award;https://odin-award.dk;DK-based research or innovation projects;General;All;DK;;Annual (varies);
Research Grants;Open Discovery Innovation Network (ODIN);https://projects.au.dk/open-odin;Precompetitive university-industry collaboration in drug discovery and diagnostics;Health, Biotech, Drug Discovery;Early-stage;DK;DKK 180M (2024–2028);Per call; Precompetitive university-industry collaboration in drug discovery and diagnostics. Results are openly shared and not patented. DKK 54.5M pilot + DKK 14M from Lundbeck Foundation.
Incubator/Accelerator;Open Entrepreneur (Åben Iværksætter);https://startupdenmark.info/;PhD students and employed researchers at Danish universities;General;All;DK;N/A;Rolling; PhD students and employed researchers at Danish universities. Allows up to 2 years leave with right to return. Combinable with Innofounder and Innobooster.
Student Entrepreneurship;ORB;https://orb.dk;"DK-based students; tech/innovation";Tech, General;Early-stage;DK;Varies;Rolling;
Soft Funding;Otto Bruuns Fond;https://ottobruunsfond.dk;DK-based research or innovation projects;Tech, Social Impact, Chemistry;All;DK;DKK 50K–500K;Annual (varies);
Soft Funding;Otto Mønsteds Fond;https://otto-moensteds-fond.dk;DK-based non-profits or research institutions;Health, Research, Culture, Chemistry;All;DK;DKK 100K–1M;Annual (varies);
Soft Funding;Patent og Varemærkestyrelsen;https://dkpto.dk;"DK-based entities; must apply for patent or trademark";General;All;DK;Subsidies for patent costs;Rolling;
Incubator/Accelerator;PreFlight;https://preflight.io;Nordics-based pre-seed startups;General;Pre-seed;Nordics;Varies;Rolling;
Events/Awards;Seedster;https://seedster.dk;DK-based early-stage startups;General;Early-stage;DK;;Annual (varies);
Events/Awards;SMIL;https://smil.dk;DK-based media or entertainment startups;Media, Entertainment;Early-stage;DK;Prize-based;Annual (varies);
Incubator/Accelerator;Soundtech;https://soundtech.dk;DK-based audio or music tech startups;Tech, Audio;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;SPARK Denmark;https://sparkdenmark.ku.dk/;Health/life science projects with clinical or commercial potential;Health, Biotech;Pre-seed, Early-stage;DK;Up to 700,000 DKK (350,000 DKK per year);Annual intake (autumn);"2x12-month structured mentoring programme; funds for for activities like proof-of-concept studies, consultants, prototyping only."
Soft Funding;Spin-outs Denmark;https://spinouts.dk/;Postdocs at all 8 Danish universities;General;Early-stage;DK;1-year postdoc salary;Annual call; Early-career researchers (postdocs) at one of the eight Danish universities. Applications must be endorsed by the department and include both a written application and an oral pitch. 82 grants awarded.
Student Entrepreneurship;Start Up Factory;https://startupfactory.dk;"DK-based students; early-stage startups";General;Early-stage;DK;Varies;Rolling;
Events/Awards;Startup Lab;https://startuplab.dk;DK-based early-stage startups;General;Early-stage;DK;;Rolling;
Events/Awards;Startup Planet;https://startupplanet.dk;DK-based startups;General;Early-stage;DK;;Annual (varies);
Student Entrepreneurship;Startup Station;https://startupstation.dk;"DK-based students; tech/innovation";Tech, General;Early-stage;DK;Varies;Rolling;
Events/Awards;Startup Aarhus Townhall;https://startupaarhus.dk;DK-based Aarhus startups;General;Early-stage;DK;;Annual (varies);
Student Entrepreneurship;Station;https://station.dk;"DK-based students; tech/design";Tech, Design;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;STEAR;https://stear.dk;DK-based tech startups;Tech, General;Early-stage;DK;Varies;Rolling;
Events/Awards;StortTech Festival;https://storttech.dk;DK-based tech startups;Tech, Deep Tech;Early-stage;DK;;Annual (varies);
Incubator/Accelerator;Symbion / Copenhagen Science City;https://symbion.dk/ and https://cphsciencecity.dk/;Deep tech, digital, health startups;Tech, Health, Biotech;Early-stage, Growth-stage;DK;Subsidised lab/office space;Rolling; Deep tech, digital, health startups. Symbion’s BioHub offers wet lab space at subsidised rates.
Student Entrepreneurship;Synapse;https://synapse.dk;"DK-based students; health/biotech innovation";Health, Biotech;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;Tech Nordic;https://technordic.com;Nordics-based tech startups;Tech, General;Early-stage;Nordics;Varies;Rolling;
Events/Awards;TechBBQ;https://techbbq.org;Nordics-based tech startups;Tech, General;All;Nordics;;Annual (September);
Incubator/Accelerator;The Circular Lab;https://thecircularlab.dk;DK-based circular economy startups;Cleantech, Sustainability;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;The Gate;https://sdu.dk/the-gate;Postdoc-to-entrepreneur transitions;General;Early-stage;DK;N/A;Rolling; Postdoc-to-entrepreneur transitions. Lighter-touch support network  complementary to Spin-outs Denmark.
Female Initiatives;Time to Raise;https://timetoraise.dk;DK-based female-led startups;General;Early-stage;DK;Varies;Rolling;
Student Entrepreneurship;UCN Next Step;https://ucn.dk;"DK-based students; entrepreneurship focus";General;Early-stage;DK;Varies;Rolling;
Soft Funding;UCPH Proof of Concept Fund (POC MAX);https://lighthouse.ku.dk/en/researchers/funding/proof-of-concept-pool/;"UCPH researchers; larger initiative";Tech, Health, Biotech, Cleantech, Sustainability, General;Early-stage;DK;Up to DKK 500,000;Rolling, multiple/year; UCPH researchers  larger initiative. Duration  12–18 months  funds must be spent within the project period.
Soft Funding;UCPH Proof of Concept Fund (POC-TO-GO);https://lighthouse.ku.dk/en/researchers/funding/proof-of-concept-pool/;"UCPH researchers & PhD students; must have commercial or societal potential";Tech, Health, Biotech, Cleantech, Sustainability, General;Early-stage;DK;Up to DKK 150,000;Rolling, multiple/year; UCPH researchers & PhD students  must have commercial or societal potential. Supported activities  prototype development, IP assessment, market validation, feasibility studies.
Soft Funding;Velliv Foreningen;https://velliv.dk;DK-based health and well-being projects;Health, Social Impact;All;DK;DKK 50K–500K;Annual (varies);
Soft Funding;Villum Foundation and VELUX Group;https://villumfonden.dk/;Sustainable building technology, daylight research, indoor climate, biophilic design;Cleantech, Sustainability, Materials Science;Early-stage, Growth-stage;DK;DKK 1M–10M (2–4 years);Rolling; Sustainable building technology, daylight research, indoor climate, biophilic design. VELUX contribution qualifies as co-financing for Innobooster or EUDP.
Incubator/Accelerator;We Build Denmark;https://webuilddenmark.dk;DK-based construction or cleantech startups;Cleantech, Sustainability;Early-stage;DK;Varies;Annual (varies);
Female Initiatives;Women in Front;https://womeninfront.dk;DK-based female leaders;General;All;DK;Varies;Rolling;
Female Initiatives;Women in Tech;https://womenintech.dk;DK-based women in tech;Tech;Early-stage;DK;Varies;Rolling;
