Opportunity;Name;Link;Criteria;Industrial segment;Stage;Geography;Funding Amount;Deadline;Quick info;CVR at application;CVR at programme start
Events;JoinUp North;https://joinupnorth.com;Nordics-based startups;General;All stages;Nordics;;Annual (varies);Annual Nordic startup gathering connecting founders, investors, and ecosystem players across the region. Cross-border networking and matchmaking — no funding attached.;Any;Any
Events;Nordic Fintech Week;https://nordicfintechweek.com;Nordics-based fintech startups;Fintech;All stages;Nordics;;Annual (varies);Annual fintech conference and networking week for Nordic fintech startups, investors, and financial institutions. Programme tracks, panels, and investor meetings across the Nordic ecosystem.;Any;Any
Events;Nordic Innovation Fair;https://nordicinnovationfair.com;Nordics-based startups;General;All stages;Nordics;;Annual (fall);Fall innovation fair showcasing Nordic startups, research, and cross-border collaboration opportunities.;Any;Any
Events;Odense Investor Summit;https://investinodense.com/odense-investor-summit/;DK-based startups;General;All stages;DK;Event (no grant);Annual (varies);Annual investor–startup summit in Odense connecting Funen-region companies with angels, VCs, and corporates. Pitching and curated matchmaking for the local growth ecosystem.;Any;Any
Events;Seedster;https://seedster.dk;DK-based early-stage startups;General;Early venture;DK;Paid attendance (~€995+ excl. VAT);Annual (varies);"Week-long entrepreneurship bootcamp in Marbella (not a pitch competition). Mentorship, workshops, and networking; fee covers programme, catering, and hotel.";Any;Any
Events;SMIL;https://www.startupaarhus.com/events/smil;DK-based startups (Aarhus-hosted national festival);General;Early venture;DK;"Event (ticketed; no grant)";Annual (varies);Annual Aarhus startup festival curated by Startup Aarhus (next edition marketed as SMIL’27). Curated sessions connecting founders, investors and operators — not a cash-prize competition.;Any;Any
Events;Startup Aarhus Townhall;https://startupaarhus.dk;DK-based Aarhus startups;General;All stages;DK;;Annual (varies);Aarhus startup townhall events with local founder pitches, ecosystem news, and networking.;Any;Any
Events;Startup Lab;https://startuplab.dk;DK-based early-stage startups;General;Early venture;DK;;Rolling;Copenhagen startup community and event series offering networking, pitch opportunities, and ecosystem connections for early-stage founders.;Any;Any
Events;Startup Planet;https://startupplanet.dk;DK-based startups;General;All stages;DK;;Annual (varies);Danish startup community event series for networking, inspiration, and founder connections.;Any;Any
Events;TechBBQ;https://techbbq.org;Nordics-based tech startups;Tech, General;All stages;Nordics;;Annual (September);Nordic's major tech conference in Copenhagen: investor meetings, side events, and startup showcase.;Any;Any
Female Initiatives;Even Founders;https://www.evenfounders.com/;DK-based female entrepreneurs;General;Early venture;DK;Varies;Rolling;Non-profit supporting Nordic women founders via Startup School (12-week programme), investor database, co-founder matchmaking, and ecosystem partnerships. Tuborgfondet-backed.;Any;Any
Female Initiatives;Found Diverse;https://founddiverse.com;DK-based diversity in startups;General;Early venture;DK;Varies;Rolling;Non-profit promoting diversity in Danish entrepreneurship through events, mentoring, and community programmes (founded from NWiTA alumni network).;Any;Any
Female Initiatives;Intech Founders;https://intechfounders.com;DK-based female-led startups;Tech;Early venture;DK;Varies;Rolling;Community and programme for female-led tech startups in Denmark with networking, mentoring, and founder support events.;Any;Any
Female Initiatives;Kvinde kompagniet;https://kvindekompagniet.dk;DK-based female entrepreneurs;General;Early venture;DK;Varies;Rolling;Danish network for female entrepreneurs offering peer community, events, and business sparring.;Any;Any
Female Initiatives;Ladies First;https://ladiesfirst.dk;DK-based female entrepreneurs;General;Early venture;DK;Varies;Rolling;Copenhagen-based community supporting female founders with networking events, workshops, and mentorship.;Any;Any
Female Initiatives;Next Women;https://nextwomen.com;Nordics-based female-led startups;General;Early venture;Nordics;Varies;Rolling;Nordic network and platform for female-led startups with events, visibility, and investor connections across the region.;Any;Any
Female Initiatives;Nordic Female Founders;https://nordicfemalefounders.com;Nordics-based female-led startups;General;Early venture;Nordics;Varies;Rolling;Nordic community connecting female founders with mentors, investors, and cross-border networking opportunities.;Any;Any
Female Initiatives;Nordic Women’s Health Hub;https://nordicwomenshealth.com/;Nordics-based female-led startups;Health;Early venture;Nordics;Varies;Rolling;Nordic Women’s Health community/hub supporting women’s health innovation and female founders with network, visibility and sector programmes across the Nordics.;Any;Any
Incubator/Accelerator;Time to Raise;https://timetoraise.co;Founder-led startups currently fundraising or fundraising within ~6 months;General;Early venture;Nordics, EU;No direct grant (fundraising accelerator);Rolling / per cohort;"Techarena fundraising accelerator for founder-led companies (not women-only). Focuses on investor readiness, warm intros and raising capital faster; alumni report capital raised via the programme.";Any;Any
Female Initiatives;Women in Front;https://womeninfront.dk;DK-based female leaders;General;All stages;DK;Varies;Rolling;Network for Danish female leaders and entrepreneurs with events, mentorship, and leadership development.;Any;Any
Female Initiatives;Women in Tech;https://womenintech.dk;DK-based women in tech;Tech;Early venture;DK;Varies;Rolling;Danish community promoting women in technology through events, mentoring, role models, and career support.;Any;Any
Incubator/Accelerator;Akademikernes Startup;https://akademikerne.dk;DK-based startups founded by academics;Tech, Health, General;Early venture;DK;Varies;Rolling;Member benefit from Akademikernes A-kasse: 3-month Copenhagen incubator, online incubator, and on-demand courses with mentoring and networking. Open to members exploring entrepreneurship, including while on dagpenge.;Any;Any
Incubator/Accelerator;Beta Health;https://betahealth.dk;"Hospital-employed clinicians/researchers; Danish public hospitals";Health;PoC;DK;Varies;Per programme call;National hospital innovation platform (Novo Nordisk Foundation). Clinicians/researchers at Danish public hospitals apply for BETA.05 (DKK 500K) or BETA.10 (DKK 1M) grants plus structured accelerator support.;Any;Any
Incubator/Accelerator;Beyond Beta;https://beyondbeta.dk;"DK-based startups; CVR max 7 years; MVP or customers";Tech, General;Growth/scale;DK;Varies;Annual batches (varies);EU-funded 12-month national accelerator run by Accelerace, industry clusters, and Danish Business Hubs. Tailored mentoring, workshops, and investor access. Free to join.;Yes;Yes
Incubator/Accelerator;BII Bio Studio;https://bii.dk/programs/bio-studio/;"Principal Investigator (prof/assoc prof, 3+ years as independent group leader); challenge-call scoped; pre-commercial project with no existing company or external investment";Biotech, Health, Cleantech;Exploratory innovation;DK;"Up to DKK 5.35M/year for up to 3 years (in-kind; convertible loan in year 3)";Challenge calls ~2x/year (typically May and December);"Company-creation programme for academic researchers. Highly selective multi-step process (expression of interest, scientific pitch, diligence). BII encourages early dialogue on project fit before applying. Project team is hired at BII; Entrepreneur-in-Residence leads company formation (spin-out typically around year 2). Thematic calls in Human Health, Planetary Health, and related focus areas.";No;No
Incubator/Accelerator;BII Quantum Lab;https://bii.dk/programs/quantum-lab/;"Early-stage startup HQ in NATO country; dual-use quantum technology addressing NATO DIANA challenge areas";Quantum Tech, Defense Tech, Deep Tech;Early venture;Nordics;EUR 100K contractual funding (6 months);Per programme call;6-month programme (formerly Deep Tech Lab – Quantum), run with NATO DIANA. Supports dual-use quantum technologies with both civilian and defence applications. Access to NATO-wide defence, security, and resilience networks.;Yes;Yes
Incubator/Accelerator;BII Venture Lab;https://bii.dk/programs/venture-lab/;"Early-stage life science or deep tech startup; Danish CVR required for funding; prioritises Danish HQ, operations, and leadership";Biotech, Health, Deep Tech, Cleantech;Early venture;DK;DKK 4.2M founder-friendly convertible loan (12 months);Per open call (rolling between calls);12-month accelerator maturing science and business readiness. Open-call programme for incorporated startups in Human Health, Planetary Health, and Quantum. May apply before CVR exists if a clear plan to establish a Danish entity before programme start. Eligible Danish teams may later apply for Venture House follow-on (DKK 10.5M). May apply before CVR exists if there is a clear plan to establish a Danish entity before programme start.;Any;Yes
Incubator/Accelerator;Canute;https://canute.io/;DK-based startups scaling internationally;General, Tech;Growth/scale;DK;Paid advisory / programmes (varies);Rolling;Scaling advisory and accelerator (now Canute by Thursday). Helps Danish founders enter US, UK, and Germany with market-entry programmes, fundraising strategy, and public-funding support. Scaling programmes assume an incorporated Danish startup.;Any;Yes
Incubator/Accelerator;Care Tech Challenge;https://www.danish.care/aktiviteter/for-startups-caretech-challenge/;"DK startups 0–3 years old (CVR); limited commercial revenue on the solution";Health, Care tech, Welfare tech;Early venture;DK;"No cash grant (accelerator + exposure; Danish.Care membership fee)";Rolling screening for 2026/2027 cohort;Danish.Care CareTech CHALLENGE accelerator for assistive/welfare-tech startups. Activities include pitches, Investor Day, Health & Rehab exhibition, workshops and industry matchmaking. Participation requires screening plus paid Danish.Care membership (Group 1). Company age 0–3 years based on CVR.;Yes;Yes
Incubator/Accelerator;CBS CSE (Copenhagen School of Entrepreneurship);https://cse.cbs.dk/;"Students, recent graduates, or researchers at Danish higher-ed institutions; startup or committed idea stage";General;Early venture;DK;No direct funding (incubation/acceleration support);Rolling;"CBS entrepreneurship centre (distinct from former UCPH CSE/Venture Cup). Incubator and accelerator for founders at idea through growth stage; EXPLORE pre-incubation, Deep Green Innovators, and OpenInnovation with DTU Skylab and KU Actory.";Any;Any
Incubator/Accelerator;Climate-KIC Urban Mobility Food;https://climate-kic.org;EU-based urban mobility or food systems startups;Cleantech, Food/AgriTech, Sustainability;Early venture;EU;Varies;Rolling;EIT Climate-KIC programmes for EU startups in urban mobility and sustainable food systems. Access to innovation programmes, pilots, and European cleantech networks.;Any;Any
Incubator/Accelerator;Defence Tech Denmark;https://defencetech.dk;DK-based defense or security tech startups;Defense Tech;Early venture;DK;Varies;Rolling;Community and support network for Danish defence and dual-use security startups, linking founders with defence stakeholders, testing opportunities, and ecosystem partners.;Any;Any
Incubator/Accelerator;DIF Innovation Lab;https://dif.dk;DK-based sports tech startups;Tech, Sports;Early venture;DK;Varies;Rolling;DIF (Danish sports federation) innovation lab bridging sportstech startups with federations, clubs, athletes, and universities for user testing and scaling. SportsTech Denmark membership and government-funded innovation packages available.;Yes;Yes
Incubator/Accelerator;EESA;https://eesa.dk;DK-based energy or sustainability startups;Cleantech, Sustainability;Early venture;DK;Varies;Rolling;Energy and sustainability accelerator/community supporting Danish cleantech startups with mentoring, industry connections, and programme activities in the green transition.;Any;Any
Incubator/Accelerator;Food and Bio Cluster;https://foodbiocluster.dk;DK-based food or agri-tech startups;Food/AgriTech;Early venture;DK;Varies;Rolling;Danish cluster organisation for food, bio, and agri-tech companies offering networking, internationalisation support, innovation projects, and sector-specific programmes.;Any;Any
Incubator/Accelerator;Founder to Leader;https://foundertoleader.dk;"DK-based startups; leadership development";General;Growth/scale;DK;Varies;Rolling;Leadership development programme for Danish startup founders focusing on management skills, team building, and scaling as a CEO. Programme targets founders with an operating company.;Any;Yes
Incubator/Accelerator;Future Manufacturers;https://futuremanufacturers.dk;DK-based manufacturing tech startups;Tech, Manufacturing;Early venture;DK;Varies;Rolling;Manufacturing and industry 4.0 startup programme supporting Danish production-tech founders with sector expertise and scaling support.;Any;Any
Incubator/Accelerator;Game Hub;https://gamehub.dk;DK-based gaming or interactive media startups;Tech, Gaming;Early venture;DK;Varies;Rolling;Danish games industry hub offering community, events, mentoring, and business development for gaming and interactive media startups.;Any;Any
Incubator/Accelerator;Hub for Innovation in Tourism;https://innohub.dk/;DK-based tourism tech startups;Tech, Tourism;Early venture;DK;"Programme support (accelerator; not a fixed cash grant)";Rolling;"National Hub for Innovation in Tourism (HIT) — partnership of Dansk Kyst- og Naturturisme, MeetDenmark and Dansk Storbyturisme. Startup accelerator, matchmaking and network for tourism-relevant founders; co-funded by ESF+ and Danmarks Erhvervsfremmebestyrelse.";Any;Any
Incubator/Accelerator;Ideas Lab;https://filmbyaarhus.dk/english/industry-development/start-up-office-and-community;Promising startups/talent in games, film, XR, animation (Aarhus);Media, Entertainment, Games;Early venture;DK;In-kind (office, mentoring, workshops);Rolling;Filmby Aarhus incubator / startup office (Ideas Lab) for digital creative ventures in games, film, XR and animation. Office space, mentoring, legal/accountant access, workshops and masterclasses toward acceleration — no standard cash grant.;Any;Any
Incubator/Accelerator;Incuba;https://incuba.dk;DK-based early-stage startups;Tech, General;Early venture;DK;Varies;Rolling;Danish incubator supporting early-stage tech startups with workspace, mentoring, and business development in Aalborg/North Denmark region.;Any;Any
Incubator/Accelerator;Leap Forward;https://leapforward.dk;DK-based tech startups;Tech, General;Early venture;DK;Varies;Rolling;Tech startup growth programme offering mentoring and scaling support for Danish early-stage companies.;Any;Any
Incubator/Accelerator;Lighthouse Launch;https://lighthouse.ku.dk/en/students/lighthouselaunch/;"UCPH students, researchers, and postdocs with a concrete idea; KU affiliation required";General;Exploratory innovation;DK;DKK 30K grant (cohort programme);Rolling (cohort-based);"KU Lighthouse 14-week pre-accelerator for evidence-based idea validation through structured experiments. Open to students, researchers, and postdocs; replaces the former KU–Accelerace cohort pathway. Mentoring and workshops; prepares teams for POC funding, accelerators, or investment.";Any;Any
Incubator/Accelerator;Maritime Stars;https://maritimestars.dk;DK-based maritime tech startups;Maritime Tech;Early venture;DK;Varies;Rolling;Maritime tech startup programme in Denmark connecting founders with shipping, offshore, and port industry partners for pilots and commercialisation.;Any;Any
Incubator/Accelerator;Neighborhood;https://neighborhood.dk;DK-based community-driven startups;Social Impact, General;Early venture;DK;Varies;Rolling;Community-driven startup hub in Copenhagen supporting local, impact-oriented founders with workspace, events, and peer network.;Any;Any
Incubator/Accelerator;Odense Robotics Startup Fund;https://odenserobotics.dk;DK-based robotics or automation startups;Tech, Robotics;Early venture;DK;Varies;Rolling;Odense Robotics cluster support for Danish robotics, automation, and drone startups including mentoring, investor access, and internationalisation via cluster programmes.;Any;Any
Incubator/Accelerator;Open Entrepreneurship;https://open-entrepreneurship.com/;Researchers at Danish universities with research-based commercialisation potential;Tech, Health, Biotech, General;Exploratory innovation;DK;No direct funding (network and programmes);Rolling;"National collaboration across all 8 Danish universities (since 2017; now state-funded). Matches researchers with external entrepreneurs and investors via co-founder runs, investor match, and E-corps. Verticals: Deep Tech, Life Sciences, Digital, SHAPE. Gateway to Innoexplorer and spin-out pathways.";Any;Any
Incubator/Accelerator;PreFlight;https://preflight.io;Nordics-based pre-seed startups;General;PoC;Nordics;Varies;Rolling;Nordic pre-seed programme helping very early startups validate ideas, build MVPs, and prepare for first funding rounds.;Any;Any
Incubator/Accelerator;Soundtech;https://soundtech.dk;DK-based audio or music tech startups;Tech, Audio;Early venture;DK;Varies;Rolling;Audio and music technology incubator/community in Denmark for startups developing sound, music, and media-tech products.;Any;Any
Incubator/Accelerator;SPARK Denmark;https://sparkdenmark.ku.dk/;Health/life science projects with clinical or commercial potential;Health, Biotech;PoC;DK;Up to 700,000 DKK (350,000 DKK per year);Annual intake (autumn);"2×12-month structured mentoring; funds proof-of-concept studies, consultants, and prototyping only. Funds proof-of-concept work for researchers; not for established companies.";No;No
Incubator/Accelerator;STEAR;https://stear.dk;DK-based tech startups;Tech, General;Early venture;DK;Varies;Rolling;Danish tech startup support programme offering mentoring and ecosystem access for early-stage founders.;Any;Any
Incubator/Accelerator;Tech Nordic;https://technordic.com;Nordics-based tech startups;Tech, General;Early venture;Nordics;Varies;Rolling;Nordic tech startup community and support network for early-stage companies seeking cross-border connections and growth resources.;Any;Any
Incubator/Accelerator;The Circular Lab;https://www.thecircularlab.com/en/gocircular/;European circular-economy startups;Cleantech, Sustainability;Early venture;EU;No direct grant (community, visibility, challenges);Rolling;"Ecoembes TheCircularLab GoCircular: European open-innovation community for circular-economy startups. Visibility via goCircular Radar, networking, challenges and GoCircularPass certification. Open to European startups (including Nordics); not a classic DK cash grant.";Any;Any
Incubator/Accelerator;We Build Denmark;https://webuilddenmark.dk;DK-based construction or cleantech startups;Cleantech, Sustainability;Early venture;DK;Varies;Annual (varies);"Construction and built-environment innovation cluster programme; annual activities for cleantech and construction startups.";Any;Any
Research Grants;Lundbeck Frontier;https://www.lundbeck.com/;Academic teams working on early-stage neuroscience discoveries;Health, Biotech, Neuroscience;Exploratory innovation;DK;DKK 500K–5M/year (multi-year collaborations);Rolling;Focus: psychiatry, neurodegeneration, CNS drug discovery. Preserves publication rights and university IP ownership.;Any;Any
Research Grants;NNF Distinguished Innovator Grant;https://novonordiskfonden.dk/en/grant/distinguished-innovator-grant/;"Senior Nordic researchers; proven track record";Health, Sustainability, Biotech, Chemistry;Exploratory innovation;Nordics;Up to DKK 7.6M;Annual (Sept. deadline);Novo Nordisk Foundation grant for senior Nordic researchers with proven track records to pursue high-impact innovation projects. Must act as innovation ambassador within academia. Duration 3 years.;Any;Any
Research Grants;NNF Pioneer Innovator Grant;https://novonordiskfonden.dk/en/grant/pioneer-innovator-grant/;"Nordic researchers; pre-CVR; health or sustainability focus";Health, Sustainability, Biotech, Chemistry;Exploratory innovation;Nordics;Up to DKK 1.2M;Annual (Sept. deadline);Primarily supports early-stage research at universities and research institutes (grant to institution, not individual). Themes: cardiometabolic/infectious diseases, agriculture, food, industrial/environmental biotech, carbon capture, quantum tech. Combined annual budget DKK 190M.;No;No
Research Grants;Open Discovery Innovation Network (ODIN);https://projects.au.dk/open-odin;Precompetitive university-industry collaboration in drug discovery and diagnostics;Health, Biotech, Drug Discovery;Exploratory innovation;DK;DKK 180M (2024–2028);Per call;Results openly shared, not patented. DKK 54.5M pilot + DKK 14M from Lundbeck Foundation.;Any;Any
Soft Funding;Dinero Iværksætterlegat;https://dinero.dk/ivaerksaetterlegat/;"DK company started within last 24 months; CVR required";General;Early venture;DK;DKK 10K (5 grants/year);1 October (annual);Visma Dinero Iværksætterlegat: 5 × DKK 10,000 once yearly. Applicants must have started a company within the last 24 months and provide CVR plus ownership documentation. Dinero user not required. Max one A4 application page.;Yes;Yes
Soft Funding;DSV Group Innovation Partnerships;https://dsv.com/;Logistics automation, sustainability in freight, supply chain digitalisation;Tech, Robotics, AI, Cleantech;Growth/scale;DK;Project-specific (in-kind + cash);Rolling;In-kind access to DSV's global logistics infrastructure for pilot and partnership projects.;Yes;Yes
Soft Funding;EIC Accelerator;https://eic.ec.europa.eu/eic-2026-work-programme_en;Single SME/startup, TRL 6–8;Deep Tech, Health, Cleantech, Chemistry, Physics, Quantum Tech, Materials Science;Growth/scale;EU;Up to €2.5M grant + €1M–10M equity;6 batching dates/year (Jan, Mar, May, Jul, Sep, Nov);EU blended finance for single SMEs at TRL 6–8: grant up to €2.5M plus optional equity. Grant-only support available once per company under Horizon Europe.;Yes;Yes
Soft Funding;EIC Pathfinder;https://eic.ec.europa.eu/eic-funding-opportunities/eic-pathfinder_en;Research consortia, TRL 1–4;Deep Tech, Health, Cleantech, Chemistry, Physics, Quantum Tech, Materials Science;Exploratory innovation;EU;Up to €4M;2x/year (May, Oct);"EU programme for ambitious early-stage research consortia pursuing breakthrough science and technology (TRL 1–4). Pathfinder Open and Challenges calls; highly competitive. Total budget EUR 262M. Open call success rate ~2.1% (2025); historically 7–8% (2021–23); Challenges strand typically higher (~10%).";Any;Any
Soft Funding;EIC Transition;https://catalyze-group.com/fund/eic-transition/;Must build on EIC Pathfinder, ERC PoC, or Horizon Europe Pillar II project;Deep Tech, Health, Cleantech, Chemistry, Physics, Quantum Tech, Materials Science;PoC;EU;€0.5M – €2.5M;Annual (16 Sept 2026);Predecessor project must have been active for at least 18 months before cut-off.;Yes;Yes
Soft Funding;EUDP;https://eudp.dk;"DK-based; 3–5 participants; CVR number required";Energy, Cleantech, Chemistry, Materials Science;Growth/scale;DK;DKK 2M–15M;Biannual (March/September);"Danish Energy Agency programme for industry-led consortia developing and demonstrating green energy technology (typically TRL 4–8). Co-financing ~40–60%; typical project size DKK 2–15M. 2025 funding DKK 543M.";Yes;Yes
Soft Funding;Eureka;https://eurekanetwork.org;"EU/Nordic-based SMEs; cross-border R&D collaboration";Tech, Health, Cleantech, Chemistry, Physics;PoC;EU/Nordic;€100K–2M;Rolling;Pan-European network for cross-border R&D collaboration between SMEs. Danish partners can join international consortium projects with national funding through IFD/Eureka national bodies.;Yes;Yes
Soft Funding;Eurostars;https://www.eurostars-eureka.eu/;SME-led, international consortium;Tech, Health, Cleantech, General;Growth/scale;EU;Up to €500K (Danish partner);Annual (March 2026);Success rate ~25–30%. IFD funds Danish participants up to EUR 500K if multiple Danish partners.;Yes;Yes
Soft Funding;GUDP;https://gudp.dk;DK-based green tech projects;Cleantech, Sustainability, Chemistry;Growth/scale;DK;DKK 100K–5M;2x/year;"Green Development and Demonstration Programme for food, agriculture, fisheries, and aquaculture. Supports development, demonstration, and network projects with typical grants DKK 250K–15M; ~50% co-financing.";Yes;Yes
Soft Funding;HeyFunding Legatet;https://heyfunding.dk;"DK-based startups; focus on social impact";Social Impact, Sustainability;Early venture;DK;DKK 50K–500K;Rolling;Grant from HeyFunding for early-stage Danish startups with social impact focus. Supports idea validation and early development. Incorporated entity typically needed to receive and deploy grant funds.;Any;Yes
Soft Funding;Horizon Europe;https://ec.europa.eu/info/funding-tenders;EU-based collaborative R&D projects;Tech, Health, Biotech, Cleantech, Sustainability, Chemistry, Physics, Quantum Tech, Materials Science;Exploratory innovation;EU;€0.5M–10M+;Rolling (program-specific);"EU flagship R&D programme with rolling topic-specific calls. Danish SMEs and research institutions join collaborative consortia; national contact points and EUopSTART can support proposal preparation.";Any;Any
Soft Funding;IFD Grand Solutions;https://innovationsfonden.dk/en/p/grand-solutions;Consortia including companies & research institutions;Tech, Health, Biotech, Cleantech, Sustainability, General;Growth/scale;DK;DKK 5M – 40M+ (co-financing rates vary);2x/year (March, June);Large consortia addressing major societal challenges. Co-financing: SMEs 35–75%, large companies 25–65%, research institutions up to 90% + overhead. UCPH applicants typically supported via faculty research offices (FRB+ for SCIENCE, Nørre Alle Campus office for SUND).;Yes;Yes
Soft Funding;IFD Industrial Researcher (Industrial PhD/Postdoc);https://www.innovationsfonden.dk/en/p/industrial-researcher;"DK company with CVR employs candidate; university supervisor; company co-finances salary";Tech, Health, Biotech, Cleantech, General;PoC;DK;"Salary subsidy (company + university components; project-specific)";2x/year (spring, autumn);"IFD funds company–university research hires: Industrial PhD (3 years) or Industrial Postdoc (1–3 years). Company must apply and co-finance; candidate splits time between company and university. Common spin-out route to fund a research employee while retaining academic supervision.";Yes;Yes
Soft Funding;IFD Innobooster;https://innovationsfonden.dk/en/p/innobooster;"Danish SMEs with CVR number; must have raised DKK 100K or have DKK 250K gross profit";General;Growth/scale;DK;DKK 200K – 5M (35% co-financing);Rolling (pooled);Extension of the Innofounder pathway for incorporated SMEs: co-financing for salaries, external knowledge, equipment, and materials (not rent, transport, or sales/marketing). Eligible costs: salaries, external knowledge providers, equipment, materials. Often used after Innofounder.;Yes;Yes
Soft Funding;IFD Innoexplorer;https://innovationsfonden.dk/en/p/innoexplorer;Public researchers, pre-CVR;General;PoC;DK;DKK 500K – 1.5M;3 rounds/year;Assessment: novelty/commercial potential, qualifications, feasibility. UCPH runs internal EoI via Lighthouse panel before full application.;No;No
Soft Funding;IFD Innofounder;https://innovationsfonden.dk/en/p/innofounder;"Higher-ed graduates, early startup; full-time commitment mandatory";General;Early venture;DK;DKK 430,000 total (DKK 27,500/month + DKK 100,000 development grant);2 rounds/year (Jan-Feb, Autumn);"Non-EU/EEA applicants need Start-up Denmark visa or 1+ year in Denmark. Grant is personal income for tax. CVR required before project start. CVR required before project start; grant is personal income for tax purposes.";Any;Yes
Soft Funding;LEO Innovation Lab;https://leoinnovationlab.com/;Start-ups and academic spin-outs in dermatology, digital health, medical devices;Health, Biotech, Digital Therapeutics;PoC;DK;DKK 500K–3M/year + in-kind contributions;Rolling;LEO Pharma's external innovation unit supporting digital health and dermatology startups with pilots, mentorship, and access to LEO Pharma labs and patient registries.;Yes;Yes
Soft Funding;Mikrolegat;https://mikrolegat.ffefonden.dk/;Students in higher ed / recent graduates (3 months) or youth/vocational (Momentum);General;Early venture;DK;"Up to DKK 60K (higher ed); up to DKK 35K (Momentum)";"4x/year (15 Mar/May/Sep/Nov; Momentum 30 Mar/May/Sep/Nov)";"Fonden for Entreprenørskab micro-grants for student/pupil ideas. Higher-education Mikrolegat up to DKK 60K; Momentum Mikrolegat for youth/vocational students up to DKK 35K. 25% co-financing if CVR registered.";Any;Any
Soft Funding;Miljø- og Energi Fonden;https://mif.dk;DK-based environmental projects;Cleantech, Sustainability, Chemistry, Materials Science;PoC;DK;DKK 100K–5M;Rolling (continuous applications);Private foundation funding Danish environmental and energy innovation projects with grants typically DKK 100K–5M for development and demonstration. Company CVR typically required for project implementation.;Any;Yes
